,date,hour,Total Passengers,Amount of Trips,Total Distance,Average Distance,Total Fares,day_of_week,Temperature,Dew_Point,Humidity,Speed,Gust,Pressure,Precip_Rate,Precip_Accum,UV,Solar
0,2022-01-01,0,6716.0,4139,14253.79,3.3451748415864824,85222.39,5,50.26666666666667,47.349999999999994,89.91666666666667,0.0,0.0,29.91916666666667,0.0,0.0,0.0,0.0
2,2022-01-01,1,7391.0,4650,16036.43,3.2092115269161496,97587.01,5,50.26666666666667,47.36666666666667,90.0,0.0,0.0,29.911666666666665,0.0,0.0,0.0,0.0
4,2022-01-01,2,5703.0,3630,12345.28,3.1646449628300437,75531.61,5,50.4,47.525,90.0,0.0,0.0,29.91,0.0,0.0,0.0,0.0
6,2022-01-01,3,3976.0,2555,9023.17,3.3593335815338796,52322.6,5,50.300000000000004,47.4,90.0,0.0,0.0,29.875833333333333,0.0,0.0,0.0,0.0
8,2022-01-01,4,2415.0,1581,5967.91,3.6147244094488187,33672.87,5,49.94166666666666,47.324999999999996,90.66666666666667,0.0,0.0,29.86,0.0,0.0,0.0,0.0
10,2022-01-01,5,1180.0,792,3888.75,4.702237001209189,19754.04,5,50.166666666666664,47.68333333333334,91.08333333333333,0.0,0.0,29.844166666666666,0.0,0.0,0.0,0.0
12,2022-01-01,6,874.0,603,3532.53,5.37675799086758,17346.77,5,50.425000000000004,48.25833333333333,92.0,0.0,0.0,29.831666666666667,0.0,0.0,0.0,0.0
14,2022-01-01,7,1204.0,808,4186.7,4.937146226415094,20219.9,5,50.699999999999996,48.574999999999996,92.0,0.0,0.0,29.839166666666667,0.0075,0.0075,0.0,1.0
16,2022-01-01,8,1202.0,818,4457.78,5.2506242638398115,20979.27,5,51.25833333333333,49.1,92.0,0.0,0.0,29.8275,0.0425,0.049999999999999996,0.0,13.083333333333334
18,2022-01-01,9,1840.0,1226,5836.67,4.654441786283892,28191.36,5,51.81666666666666,49.59166666666667,92.0,0.0,0.0,29.843333333333334,0.018333333333333333,0.06416666666666666,0.0,21.833333333333332
20,2022-01-01,10,2687.0,1786,7968.43,4.378258241758242,39868.54,5,52.96666666666667,50.625,92.0,0.0,0.0,29.829166666666666,0.024166666666666666,0.08666666666666667,0.0,51.25
22,2022-01-01,11,3697.0,2289,9302.51,3.956831135686942,48363.9,5,53.78333333333333,51.40833333333333,92.0,0.0,0.0,29.785,0.005,0.09000000000000001,0.0,64.91666666666667
24,2022-01-01,12,4557.0,2876,10733.02,3.635846883468835,58919.66,5,54.458333333333336,52.1,92.0,0.0,0.0,29.765833333333333,0.008333333333333333,0.09833333333333334,0.0,55.166666666666664
26,2022-01-01,13,4874.0,3127,32521.579999999998,10.140810726535703,67154.46,5,55.03333333333333,52.6,91.33333333333333,0.0,0.0,29.748333333333335,0.012499999999999999,0.11,0.0,49.166666666666664
28,2022-01-01,14,5160.0,3264,37575.270000000004,11.30423285198556,73869.51,5,55.64166666666667,53.125,91.08333333333333,0.0,0.0,29.726666666666663,0.0008333333333333334,0.11,0.0,55.916666666666664
30,2022-01-01,15,5530.0,3508,14571.02,4.0769501958589816,77933.14,5,55.75833333333333,53.175000000000004,90.83333333333333,0.0,0.0,29.709999999999997,0.0,0.11,0.0,25.75
32,2022-01-01,16,5680.0,3559,15372.8,4.231434076520782,80363.87,5,55.24166666666667,52.74166666666667,91.0,0.0,0.0,29.709999999999997,0.0,0.11,0.0,2.0833333333333335
34,2022-01-01,17,5806.0,3591,13047.77,3.5591298417894164,75107.95,5,55.725,53.166666666666664,91.0,0.0,0.0,29.71666666666667,0.0025,0.1125,0.0,0.0
36,2022-01-01,18,5783.0,3639,13913.65,3.7292012865183595,77374.56,5,55.25833333333333,52.708333333333336,90.83333333333333,0.0,0.0,29.719166666666666,0.015833333333333335,0.1275,0.0,0.0
38,2022-01-01,19,5219.0,3380,102377.39000000001,29.61451836852763,69447.34,5,54.475,51.949999999999996,91.0,0.0,0.0,29.704166666666666,0.029166666666666664,0.15666666666666668,0.0,0.0
40,2022-01-01,20,4147.0,2629,9913.95,3.67728115727003,55449.67,5,53.98333333333333,51.49166666666667,91.41666666666667,0.0,0.0,29.6725,0.04833333333333334,0.20083333333333334,0.0,0.0
42,2022-01-01,21,4102.0,2629,10739.83,3.9733000369959304,57309.62,5,53.416666666666664,51.074999999999996,92.0,0.0,0.0,29.635,0.06666666666666667,0.26666666666666666,0.0,0.0
44,2022-01-01,22,3881.0,2465,10156.85,3.9474737660318695,55062.44,5,51.675000000000004,49.48333333333333,92.0,0.0,0.0,29.61916666666667,0.21,0.48,0.0,0.0
46,2022-01-01,23,2748.0,1773,8876.05,4.868924849149753,43585.81,5,51.333333333333336,49.175000000000004,92.0,0.0,0.0,29.584999999999997,0.1625,0.6191666666666666,0.0,0.0
48,2022-01-02,0,2246.0,1441,8088.28,5.453998651382333,37487.75,6,50.541666666666664,48.40833333333333,92.25,0.0,0.0,29.5625,0.016666666666666666,0.0025,0.0,0.0
49,2022-01-02,1,1567.0,989,5050.8,4.971259842519685,24711.37,6,50.00833333333333,47.975,92.66666666666667,0.0,0.0,29.550833333333333,0.008333333333333333,0.01,0.0,0.0
50,2022-01-02,2,1026.0,682,3130.2400000000002,4.452688477951636,15187.8,6,50.28333333333333,48.291666666666664,93.0,0.0,0.0,29.530833333333334,0.0,0.01,0.0,0.0
51,2022-01-02,3,764.0,490,2167.32,4.317370517928287,10912.84,6,51.85833333333333,49.875,93.0,0.0,0.0,29.563333333333333,0.0,0.01,0.0,0.0
52,2022-01-02,4,506.0,336,1775.48,4.973333333333334,8822.61,6,53.01666666666667,51.01666666666667,93.0,0.0,0.0,29.549166666666665,0.0,0.01,0.0,0.0
53,2022-01-02,5,480.0,325,2679.0,7.810495626822157,12271.05,6,53.083333333333336,51.09166666666667,93.0,0.0,0.0,29.573333333333334,0.008333333333333333,0.018333333333333333,0.0,0.0
